postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE
437870,33882.89095,31133.190939999997,1.297831478,103.8861789,Katong Park,Mountbatten,Marine Parade,Central,TE24,future,False,False,TE24,,,,,,,,,,24,
439846,35128.211989999996,31297.730819999997,1.299319257,103.8973687,Tanjong Katong,Mountbatten,Marine Parade,Central,TE25,future,False,False,TE25,,,,,,,,,,25,
449971,35975.61075,31661.807989999998,1.302611635,103.9049831,Marine Parade,Marine Parade,Marine Parade,Central,TE26,future,False,False,TE26,,,,,,,,,,26,
449970,37102.263439999995,32110.05443,1.306665103,103.91510670000001,Marine Terrace,Marine Parade,Marine Parade,Central,TE27,future,False,False,TE27,,,,,,,,,,27,
449969,38762.61178,32479.8152,1.310008551,103.9300258,Siglap,Frankel,Bedok,East,TE28,future,False,False,TE28,,,,,,,,,,28,
469958,40129.48783,32824.19446,1.313122483,103.942308,Bayshore,Bayshore,Bedok,East,TE29,future,False,False,TE29,,,,,,,,,,29,
737741,23542.55457,45459.758819999995,1.427396053,103.79326429999999,Woodlands South,Woodlands South,Woodlands,North,TE3,operational,False,False,TE3,,,,,,,,,,3,
468324,40908.86292,33218.0453,1.316684007,103.94931120000001,Bedok South,Bayshore,Bedok,East,TE30,future,False,False,TE30,,,,,,,,,,30,
469731,41784.9899,33629.14833,1.320401487,103.9571838,Sungei Bedok,Bayshore,Bedok,East,TE31 / DT37,future,False,True,TE31,DT37,,,,,37,,,,31,
787140,26279.32794,42162.93444,1.397581061,103.8178569,Springleaf,Nee Soon,Yishun,North,TE4,operational,False,False,TE4,,,,,,,,,,4,
789361,28269.89707,40827.793939999996,1.38550658,103.8357438,Lentor,Tagore,Ang Mo Kio,North-East,TE5,operational,False,False,TE5,,,,,,,,,,5,
569900,28361.59505,39274.94719,1.371463188,103.8365678,Mayflower,Kebun Bahru,Ang Mo Kio,North-East,TE6,operational,False,False,TE6,,,,,,,,,,6,
575737,27952.7071,38370.443889999995,1.363283185,103.8328936,Bright Hill,Upper Thomson,Bishan,Central,TE7,operational,False,False,TE7,,,,,,,,,,7,
577937,27953.2465,37390.00369,1.354416434,103.8328985,Upper Thomson,Upper Thomson,Bishan,Central,TE8,operational,False,False,TE8,,,,,,,,,,8,
297608,28761.5758,35491.34314,1.3372456129999999,103.8401618,Caldecott,Toa Payoh West,Toa Payoh,Central,TE9/CC17,operational,False,True,TE9,CC17,,17,,,,,,,9,
