period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,DT,CE,BP,PW,TE,PE,CG,SE,name
2022-01,weekend,13,CC12,1746,1429,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,7,CC12,8477,20674,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,7,CC12,882,907,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,12,CC12,2333,1270,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,12,CC12,3495,2838,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,18,CC12,9440,6396,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,18,CC12,1686,1577,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,20,CC12,1561,3374,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekend,20,CC12,665,1632,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2022-01,weekday,12,CE1/DT16,8123,15377,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,12,CE1/DT16,5581,12576,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,6,CE1/DT16,3449,16082,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,6,CE1/DT16,2297,6991,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,18,CE1/DT16,21346,16167,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,18,CE1/DT16,13928,11406,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,8,CE1/DT16,3244,7209,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,8,CE1/DT16,6877,19433,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,21,CE1/DT16,23867,9061,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,21,CE1/DT16,14965,5398,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,23,CE1/DT16,11102,1227,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,23,CE1/DT16,18114,2499,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,20,CE1/DT16,16720,6628,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,20,CE1/DT16,21896,9811,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,17,CE1/DT16,16154,12586,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,17,CE1/DT16,20153,14081,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,7,CE1/DT16,3949,5907,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,7,CE1/DT16,7773,15879,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekday,13,CE1/DT16,8553,17874,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
2022-01,weekend,13,CE1/DT16,6332,15250,CE1,DT16,,TRUE,,,,,,16,1,,,,,,,Bayfront
