period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-02,weekday,11,BP4,4315,1941,BP4,,,False,,,,,,4.0,,,,,,,,Teck Whye
2022-02,weekend,11,BP4,754,428,BP4,,,False,,,,,,4.0,,,,,,,,Teck Whye
2022-02,weekday,11,NS27/CE2,1054,920,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-02,weekend,11,NS27/CE2,580,937,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-02,weekend,9,NS17/CC15,5967,1921,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
2022-02,weekday,9,NS17/CC15,15214,3875,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
2022-02,weekend,6,EW10,2381,939,EW10,,,False,,,,10.0,,,,,,,,,,Kallang
2022-02,weekday,6,EW10,11421,2814,EW10,,,False,,,,10.0,,,,,,,,,,Kallang
2022-02,weekday,8,NS28,1089,2364,NS28,,,False,28.0,,,,,,,,,,,,,Marina South Pier
2022-02,weekend,8,NS28,307,2685,NS28,,,False,28.0,,,,,,,,,,,,,Marina South Pier
2022-02,weekend,7,EW33,1317,1813,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekday,7,EW33,2051,8939,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekday,18,BP12,2123,4263,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekend,18,BP12,601,694,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekend,24,EW14/NS26,76,26,EW14,NS26,,True,26.0,,,14.0,,,,,,,,,,Raffles Place
2022-02,weekday,24,EW14/NS26,179,51,EW14,NS26,,True,26.0,,,14.0,,,,,,,,,,Raffles Place
2022-02,weekend,24,CG2,16,9,CG2,,,False,,,,,,,,,,,,2.0,,Changi Airport
2022-02,weekday,24,CG2,21,15,CG2,,,False,,,,,,,,,,,,2.0,,Changi Airport
2022-02,weekend,16,NE5,3259,3767,NE5,,,False,,,,,5.0,,,,,,,,,Clarke Quay
2022-02,weekday,16,NE5,6034,5158,NE5,,,False,,,,,5.0,,,,,,,,,Clarke Quay
2022-02,weekday,11,NE16/STC,23222,17777,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekend,11,NE16/STC,16292,12442,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekday,9,TE6,3600,1380,TE6,,,False,,,,,,,,,,6.0,,,,Mayflower
2022-02,weekend,9,TE6,1640,808,TE6,,,False,,,,,,,,,,6.0,,,,Mayflower
2022-02,weekday,13,EW9,14370,8692,EW9,,,False,,,,9.0,,,,,,,,,,Aljunied
2022-02,weekend,13,EW9,7766,7435,EW9,,,False,,,,9.0,,,,,,,,,,Aljunied
2022-02,weekday,8,TE5,2004,1110,TE5,,,False,,,,,,,,,,5.0,,,,Lentor
2022-02,weekend,8,TE5,540,324,TE5,,,False,,,,,,,,,,5.0,,,,Lentor
2022-02,weekend,17,CC6,4307,3597,CC6,,,False,,,6.0,,,,,,,,,,,Stadium
2022-02,weekday,17,CC6,5404,5332,CC6,,,False,,,6.0,,,,,,,,,,,Stadium
2022-02,weekday,8,NE8,14517,18917,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekend,8,NE8,4361,6209,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekend,20,CC7,1166,2028,CC7,,,False,,,7.0,,,,,,,,,,,Mountbatten
2022-02,weekday,20,CC7,2016,3906,CC7,,,False,,,7.0,,,,,,,,,,,Mountbatten
2022-02,weekday,20,NS3,5457,18075,NS3,,,False,3.0,,,,,,,,,,,,,Bukit Gombak
2022-02,weekend,20,NS3,3234,7416,NS3,,,False,3.0,,,,,,,,,,,,,Bukit Gombak
2022-02,weekend,10,SE3,1440,539,SE3,,,False,,,,,,,,,,,,,3.0,Bakau
2022-02,weekday,10,SE3,2056,782,SE3,,,False,,,,,,,,,,,,,3.0,Bakau
2022-02,weekend,9,EW16/NE3,3577,4680,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-02,weekday,9,EW16/NE3,10151,29407,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-02,weekday,18,NE16/STC,34974,68143,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekend,18,NE16/STC,14412,19116,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-02,weekend,12,TE3,2262,1124,TE3,,,False,,,,,,,,,,3.0,,,,Woodlands South
2022-02,weekday,12,TE3,3914,1862,TE3,,,False,,,,,,,,,,3.0,,,,Woodlands South
2022-02,weekend,5,EW15,104,44,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-02,weekday,5,EW15,482,663,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-02,weekend,18,NS7,2493,4007,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-02,weekday,18,NS7,10821,5807,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-02,weekend,24,NS15,159,338,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekday,24,NS15,328,589,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekday,15,NS15,19003,9345,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekend,15,NS15,4288,3853,NS15,,,False,15.0,,,,,,,,,,,,,Yio Chu Kang
2022-02,weekend,22,DT7,746,516,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-02,weekday,22,DT7,1420,924,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-02,weekday,15,PW4,2208,3348,PW4,,,False,,,,,,,,,4.0,,,,,Samudera
2022-02,weekend,15,PW4,1935,2261,PW4,,,False,,,,,,,,,4.0,,,,,Samudera
2022-02,weekend,22,TE4,429,272,TE4,,,False,,,,,,,,,,4.0,,,,Springleaf
2022-02,weekday,22,TE4,727,531,TE4,,,False,,,,,,,,,,4.0,,,,Springleaf
2022-02,weekday,15,EW23,28432,25543,EW23,,,False,,,,23.0,,,,,,,,,,Clementi
2022-02,weekend,15,EW23,14423,14680,EW23,,,False,,,,23.0,,,,,,,,,,Clementi
2022-02,weekend,20,NE8,16615,9674,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekday,20,NE8,16155,15558,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-02,weekday,19,EW33,3711,2060,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekend,19,EW33,1297,2015,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekday,6,CC16,5505,2646,CC16,,,False,,,16.0,,,,,,,,,,,Marymount
2022-02,weekend,6,CC16,936,524,CC16,,,False,,,16.0,,,,,,,,,,,Marymount
2022-02,weekday,13,TE4,1332,1137,TE4,,,False,,,,,,,,,,4.0,,,,Springleaf
2022-02,weekend,13,TE4,1137,862,TE4,,,False,,,,,,,,,,4.0,,,,Springleaf
2022-02,weekend,11,BP12,984,618,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekday,11,BP12,1333,762,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekday,13,NE17/PTC,25295,25867,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekend,13,NE17/PTC,16337,15877,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekday,7,BP5,3950,2880,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-02,weekend,7,BP5,440,354,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-02,weekday,8,SW6,4721,1516,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekend,8,SW6,1334,398,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekday,16,EW4,11585,8313,EW4,,,False,,,,4.0,,,,,,,,,,Tanah Merah
2022-02,weekend,16,EW4,4551,4361,EW4,,,False,,,,4.0,,,,,,,,,,Tanah Merah
2022-02,weekday,14,CC2,1834,2493,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
2022-02,weekend,14,CC2,983,1336,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
2022-02,weekend,12,NE14,11925,7956,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-02,weekday,12,NE14,17508,12480,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-02,weekday,20,NE4/DT19,34948,13904,NE4,DT19,,True,,,,,4.0,,,19.0,,,,,,Chinatown
2022-02,weekend,20,NE4/DT19,21425,9419,NE4,DT19,,True,,,,,4.0,,,19.0,,,,,,Chinatown
2022-02,weekend,24,SE5,13,95,SE5,,,False,,,,,,,,,,,,,5.0,Ranggung
2022-02,weekday,24,SE5,20,138,SE5,,,False,,,,,,,,,,,,,5.0,Ranggung
2022-02,weekday,23,EW6,777,2841,EW6,,,False,,,,6.0,,,,,,,,,,Kembangan
2022-02,weekend,23,EW6,495,1561,EW6,,,False,,,,6.0,,,,,,,,,,Kembangan
2022-02,weekday,12,CC4/DT15,4765,9240,CC4,DT15,,True,,,4.0,,,,,15.0,,,,,,Promenade
2022-02,weekend,12,CC4/DT15,2166,5993,CC4,DT15,,True,,,4.0,,,,,15.0,,,,,,Promenade
2022-02,weekday,15,NE4/DT19,29339,25235,NE4,DT19,,True,,,,,4.0,,,19.0,,,,,,Chinatown
