,name,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,totalTapIn,totalTapOut,cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,geometry,groceryCount,mallCount,adj_stations,dist_to_nearest_station,hub,min_dist_to_hub,nearest_hub,bus_rank,pop_rank,hub_dist_rank,adj_count_rank,dist_to_neighbour_rank,pop-bus_rank,bizCount
40,Bedok North,DT29,DT29,,,False,,,,,,,,29.0,,,,,,105759.0,96387.25,0.0,479481,37421.74382,35214.680389999994,1.334742117,103.9179783,Kaki Bukit,Bedok,East,operational,False,False,"87,23,518,137,137A,60,60T",7,37150.0,POINT (1.334742117 103.9179783),26,3,4.0,1.0584736263018817,False,3.657719984716058,Tampines,0.2348993288590604,0.8557046979865772,0.4093959731543624,0.4697986577181208,0.6006711409395973,0.6208053691275168,1557
41,Hillview,DT3,DT3,,,False,,,,,,,,3.0,,,,,,92629.75,84220.75,0.0,678211,20666.06755,38266.78985,1.362344868,103.7674183,Nature Reserve,Bukit Panjang,West,operational,False,False,"170A,973,961,653,184,176,75,178,970,963,961M,67",12,3850.0,POINT (1.362344868 103.7674183),21,11,3.0,0.8942697593465071,False,4.282728415023003,Jurong East,0.4228187919463087,0.4026845637583893,0.5100671140939598,0.34899328859060397,0.41946308724832215,-0.02013422818791949,642
42,Bedok Reservoir,DT30,DT30,,,False,,,,,,,,30.0,,,,,,102690.75,98861.5,0.0,469724,39008.31316000001,35421.04087,1.33660783,103.9322346,Bedok Reservoir,Bedok,East,operational,False,False,"5,21,59,168,46,65,69,CT18,28,18,228,2N,67",13,25470.0,POINT (1.33660783 103.9322346),33,8,4.0,1.2068201261569371,False,2.3463467299186265,Tampines,0.4630872483221477,0.7248322147651006,0.2818791946308725,0.4697986577181208,0.7315436241610739,0.26174496644295303,1041
43,Tampines West,DT31,DT31,,,False,,,,,,,,31.0,,,,,,110811.5,117267.5,0.0,529683,39698.52759,36406.01433,1.345515306,103.938437,Tampines West,Tampines,East,operational,False,False,"46,513,2N,18,5,15,129,8,67,15A,59,118B,65,23,518,69,28,21,118,168,118A",21,79670.0,POINT (1.345515306 103.938437),29,10,3.0,1.1426300200902817,False,1.1426300200902817,Tampines,0.6979865771812079,0.9731543624161074,0.12080536912751677,0.34899328859060397,0.7181208053691275,0.2751677852348994,888
44,Tampines East,DT33,DT33,,,False,,,,,,,,33.0,,,,,,244577.25,228995.25,0.0,529623,41501.07485,37586.61776,1.356191483,103.9546345,Tampines East,Tampines,East,operational,False,False,"9A,19,34B,12,293T,34,18,37,17,29A,8,3,4,59,38,518,81,29,21,12e,293,39,9",23,130980.0,POINT (1.356191483 103.9546345),25,11,4.0,1.1027871225118029,False,1.1027871225118029,Tampines,0.7550335570469798,0.9966442953020134,0.10067114093959732,0.4697986577181208,0.6543624161073825,0.24161073825503354,907
45,Upper Changi,DT34,DT34,,,False,,,,,,,,34.0,,,,,,54853.5,50693.75,2.0,485990,42262.18797,35988.65688,1.341739774,103.9614728,Simei,Tampines,East,operational,False,False,"24,2,5,4N",4,39450.0,POINT (1.341739774 103.9614728),19,7,3.0,0.7139682578509452,False,2.224288375541891,Tampines,0.14093959731543626,0.8825503355704698,0.2550335570469799,0.34899328859060397,0.2114093959731544,0.7416107382550335,729
46,Beauty World,DT5,DT5,,,False,,,,,,,,5.0,,,,,,160784.0,162179.75,0.0,588216,21598.16648,35931.23589,1.341223176,103.7757943,Anak Bukit,Bukit Timah,Central,operational,False,False,"170A,852,961M,961,157,970,985,67,174,75,52,77,174e,66,61,184,41,3N,173",19,21870.0,POINT (1.341223176 103.7757943),17,4,1.0,1.0474326728686794,False,3.831476629212669,Jurong East,0.6409395973154363,0.6912751677852349,0.436241610738255,0.07046979865771813,0.5805369127516778,0.05033557046979864,934
47,King Albert Park,DT6,DT6,,,False,,,,,,,,6.0,,,,,,86568.5,79996.5,2.0,599987,22444.48957,35316.24791000001,1.335661613,103.7833991,Holland Road,Bukit Timah,Central,operational,False,False,"170A,174,961,154,157,74,970,151,852,77,961M,67",12,10840.0,POINT (1.335661613 103.7833991),19,3,2.0,1.0474326728686794,False,4.578800951430941,Jurong East,0.4228187919463087,0.5838926174496645,0.5369127516778524,0.2046979865771812,0.5805369127516778,0.16107382550335575,467
48,Sixth Avenue,DT7,DT7,,,False,,,,,,,,7.0,,,,,,52803.75,56256.0,2.0,269784,23947.74937,34785.0233,1.330857645,103.7969068,Coronation Road,Bukit Timah,Central,operational,False,False,"170A,174,961,154,157,74,970,151,852,77,961M,67,156",13,6690.0,POINT (1.330857645 103.7969068),23,3,3.0,1.3428375487294903,False,6.077242419253232,Jurong East,0.4630872483221477,0.4463087248322148,0.7516778523489933,0.34899328859060397,0.8456375838926175,-0.016778523489932858,356
49,Tan Kah Kee,DT8,DT8,,,False,,,,,,,,8.0,,,,,,65075.25,60294.25,1.0,266268,25155.62211,34198.80531,1.325556235,103.8077603,Coronation Road,Bukit Timah,Central,operational,False,False,"170A,174,961,154,157,74,151,852,961M,67,156",11,6690.0,POINT (1.325556235 103.8077603),20,0,4.0,0.8896428652671464,False,6.695115347666235,Raffles Place,0.3959731543624161,0.4463087248322148,0.8523489932885906,0.4697986577181208,0.3926174496644295,0.050335570469798696,368
